english_precaution,indonesia_precaution
stop irritation,Hentikan iritasi
consult nearest hospital,Konsultasikan ke rumah sakit terdekat
stop taking drug,Berhenti mengonsumsi obat
follow up,Ikuti tindak lanjut
avoid oily food,Hindari makanan berminyak
avoid non veg food,Hindari makanan non-vegetarian
keep mosquitos out,Jauhkan nyamuk
apply calamine,Oleskan calamine
cover area with bandage,Tutup area dengan perban
use ice to compress itching,Gunakan kompres es untuk mengurangi gatal
reduce stress,Kurangi stres
exercise,Berolahraga
eat healthy,Makan makanan sehat
get proper sleep,Dapatkan tidur yang cukup
wash hands with warm soapy water,Cuci tangan dengan air hangat dan sabun
stop bleeding using pressure,Hentikan perdarahan dengan tekanan
consult doctor,Konsultasi ke dokter
salt baths,Mandi garam
avoid fatty spicy food,Hindari makanan berlemak dan pedas
avoid lying down after eating,Jangan tidur berbaring setelah makan
maintain healthy weight,jaga berat badan sehat
cold baths,Mandi dingin
anti itch medicine,Obat anti-gatal
acetaminophen,Acetaminofen (pereda nyeri)
lie down,Berbaring
avoid sudden change in body,Hindari perubahan posisi tubuh yang tiba-tiba
avoid abrupt head movment,Hindari gerakan kepala yang mendadak
relax,Relaksasi
lie down on side,Berbaring miring
check in pulse,Periksa detak nadi
drink sugary drinks,Minum minuman manis
bath twice,Mandi dua kali
drink plenty of water,Minum banyak air
avoid too many products,Hindari penggunaan terlalu banyak produk
have balanced diet,Miliki pola makan seimbang
soak affected area in warm water,Rendam area yang terkena dengan air hangat
use antibiotics,Gunakan antibiotik sesuai resep
remove scabs with wet compressed cloth,Hapus kerak dengan kain basah yang ditekan
meditation,Meditasi
use neem in bathing,Gunakan daun neem saat mandi
consume neem leaves,Konsumsi daun neem
take vaccine,Lakukan vaksinasi
avoid public places,Hindari tempat umum
use heating pad or cold pack,Gunakan bantalan pemanas atau kompres dingin
take otc pain reliver,Minum pereda nyeri bebas (OTC)
use lemon balm,Gunakan lemon balm
take radioactive iodine treatment,Perawatan dengan yodium radioaktif (sesuai dokter)
drink cranberry juice,Minum jus cranberry
take probiotics,Minum probiotik
lie down flat and raise the leg high,Berbaring datar dan angkat kaki tinggi
use oinments,Gunakan salep
use vein compression,Gunakan kompresi vena
dont stand still for long,Jangan berdiri diam terlalu lama
avoid open cuts,Hindari luka terbuka
wear ppe if possible,Gunakan APD jika memungkinkan
massage,Pijat
eat high calorie vegitables,Makan sayuran tinggi kalori
antiboitic therapy,Terapis antibiotik
vaccination,Vaksinasi
keep infected area dry,Jaga area terinfeksi tetap kering
use detol or neem in bathing water,Gunakan Dettol atau neem di air mandi
reduce stress,Kurangi stres
use poloroid glasses in sun,Gunakan kacamata polaroid saat di matahari
switch to loose cloothing,Ganti ke pakaian longgar
take deep breaths,Ambil napas dalam
get away from trigger,Jauhi pemicu
seek help,Cari bantuan medis
stop alcohol consumption,Hentikan konsumsi alkohol
consume milk thistle,Konsumsi milk thistle
eat fruits and high fiberous food,Makan buah-buahan dan makanan berserat tinggi
keep hydrated,Jaga tubuh tetap terhidrasi
drink papaya leaf juice,Minum jus daun pepaya
call ambulance,Panggil ambulans
chew or swallow asprin,Kunyah atau telan aspirin (jika direkomendasikan)
keep calm,Tetap tenang
rest,Istirahat
use hot and cold therapy,Gunakan terapi panas dan dingin
try acupuncture,Coba akupunktur
stop eating solid food for while,Hentikan makan makanan padat untuk sementara
try taking small sips of water,Coba minum sedikit demi sedikit
ease back into eating,Kembali makan perlahan-lahan
cover mouth,Tutupi mulut saat batuk/bersin
medication,Obat (sesuai resep)
"", 
