english_symptom,indonesia_symptom
abdominal distention,Perut Kembung
abdominal pain,Sakit Perut
absence of menstruation,Tidak Ada Menstruasi
acne or pimples,Jerawat atau Komedo
allergic reaction,Reaksi Alergi
ache all over,Nyeri di Seluruh Tubuh
abnormal appearing skin,Kulit Terlihat Abnormal
abnormal breathing sounds,Suara Napas Abnormal
abnormal involuntary movements,Gerakan Tidak Sadar Abnormal
abnormal movement of eyelid,Gerakan Kelopak Mata Abnormal
abnormal size or shape of ear,Ukuran atau Bentuk Telinga Abnormal
abnormal size or shape of breast,Ukuran atau Bentuk Payudara Abnormal
abnormal appearing tongue,Lidah Terlihat Abnormal
abusing alcohol,Penyalahgunaan Alkohol
absence of menstruation,Tidak Ada Menstruasi
anxiety and nervousness,Kecemasan dan Gugup
arm cramps or spasms,Kram atau Spasme Lengan
arm pain,Nyeri Lengan
arm stiffness or tightness,Kekakuan atau Ketegangan Lengan
arm swelling,Pembengkakan Lengan
arm weakness,Kelemahan Lengan
apnea,Apnea
antisocial behavior,Perilaku Antisosial
appetite excessive,Nafsu Makan Berlebih
appetite decreased,Nafsu Makan Menurun
back cramps or spasms,Kram atau Spasme Punggung
back mass or lump,Massa atau Benjol Punggung
back pain,Nyeri Punggung
back stiffness or tightness,Kekakuan atau Ketegangan Punggung
back swelling,Pembengkakan Punggung
back weakness,Kelemahan Punggung
bedwetting,Mengompol
behavioral problems,Masalah Perilaku
bleeding from ear,Perdarahan dari Telinga
bleeding from eye,Perdarahan dari Mata
bleeding gums,Gusi Berdarah
bleeding in mouth,Perdarahan di Mulut
bleeding or discharge from nipple,Perdarahan atau Keluaran dari Puting
blood clots during menstrual periods,Bekuan Darah Selama Menstruasi
blood in stool,Darah dalam Tinja
blood in urine,Darah dalam Urin
bloodshot eyes,Mata Merah Parah
blurred vision,Penglihatan Kabur
bone fracture,Patah Tulang
bones are painful,Tulang Terasa Nyeri
bowlegged or knock-kneed,Kaki Berbentuk O atau X
breathing fast,Pernapasan Cepat
breathing difficult,Kesulitan Bernapas
breathing problems,Masalah Pernapasan
bronchitis,Bronkitis
bruising easily,Memar dengan Mudah
bumps on penis,Benjol pada Penis
burning abdominal pain,Sakit Perut Terbakar
burning chest pain,Nyeri Dada Terbakar
burning eyes,Mata Terbakar

calf cramps or spasms,Kram atau Spasme Betis
calf pain,Nyeri Betis
calf swelling,Pembengkakan Betis
calf weakness,Kelemahan Betis
change in skin mole size or color,Perubahan Ukuran atau Warna Tahi Lalat
chest congestion,Kongesti Dada
chest pain sharp,Nyeri Dada Tajam
chest tightness,Ketegangan Dada
chills,Menggigil
choking,Tersedak
coryza,Pilek
cough,Batuk
coughing up sputum,Batuk Mengeluarkan Dahak
cramps and spasms,Kram dan Spasme
cross-eyed,Mata Juling
crying excessively,Menangis Berlebihan

delusions or hallucinations,Delusi atau Halusinasi
depression,Depresi
depressive or psychotic symptoms,Gejala Depresi atau Psikosis
diaper rash,Ruam Popok
diarrhea,Diare
difficulty breathing,Kesulitan Bernapas
difficulty eating,Kesulitan Makan
difficulty in swallowing,Kesulitan Menelan
difficulty speaking,Kesulitan Berbicara
diminished hearing,Pendengaran Berkurang
diminished vision,Penglihatan Berkurang
diphtheria,Difteri
discharge in stools,Keluaran dalam Tinja
disturbance of memory,Gangguan Memori
disturbance of smell or taste,Gangguan Penciuman atau Rasa
double vision,Penglihatan Ganda
drainage in throat,Drainase di Tenggorokan
drug abuse,Penyalahgunaan Obat
dry lips,Bibir Kering
dry or flaky scalp,Kulit Kepala Kering atau Bersisik
dryness of skin,Kekeringan Kulit

ear pain,Nyeri Telinga
early or late onset of menopause,Menopause Dini atau Terlambat
elbow cramps or spasms,Kram atau Spasme Siku
elbow lump or mass,Benjol atau Massa di Siku
elbow pain,Nyeri Siku
elbow stiffness or tightness,Kekakuan atau Ketegangan Siku
elbow swelling,Pembengkakan Siku
elbow weakness,Kelemahan Siku
emotional symptoms,Gejala Emosional
excessive anger,Kemarahan Berlebih
excessive appetite,Nafsu Makan Berlebih
excessive growth,Pertumbuhan Berlebih
excessive urination at night,Kencing Malam Berlebih
eye burns or stings,Mata Terbakar atau Panas
eye deviation,Penyimpangan Mata
eye moves abnormally,Mata Bergerak Abnormal
eye pain,Nyeri Mata
eye redness,Kemerahan Mata
eye strain,Kelelahan Mata
eyeball problems,Masalah Bola Mata
eyelid lesion or rash,Lesi atau Ruam Kelopak Mata
eyelid retracted,Kelopak Mata Tertarik
eyelid swelling,Pembengkakan Kelopak Mata
eyes spots or clouds in vision,Bintik atau Awan dalam Penglihatan

facial pain,Nyeri Wajah
fainting,Pingsan
fatigue,Kelelahan
fears and phobias,Ketakutan dan Fobia
feeling cold,Merasa Dingin
feeling hot,Merasa Panas
feeling hot and cold,Merasa Panas dan Dingin
feeling ill,Merasa Sakit
feet turned in,Kaki Menoleh ke Dalam
fever,Demam
flatulence,Kembung
flushing,Kemerahan pada Wajah
focal weakness,Kelemahan Terfokus
fluid in ear,Cairan di Telinga
fluid retention,Retensi Cairan
flu-like syndrome,Sindrom Seperti Flu
food intolerance,Intoleransi Makanan
foreign body sensation in eye,Sensasi Benda Asing di Mata
frequent menstruation,Menstruasi Sering
frequent urination,Sering Kencing
frontal headache,Sakit Kepala Bagian Depan
frostbite,Radang Dingin

gum pain,Nyeri Gusi
gum problems,Masalah Gusi

hair loss,Rambut Rontok
hair problems,Masalah Rambut
hallucinations,Halusinasi
hand or finger cramps or spasms,Kram atau Spasme Jari atau Tangan
hand or finger lump or mass,Benjol atau Massa Jari atau Tangan
hand or finger pain,Nyeri Jari atau Tangan
hand or finger stiffness or tightness,Kekakuan atau Ketegangan Jari atau Tangan
hand or finger swelling,Pembengkakan Jari atau Tangan
hand or finger weakness,Kelemahan Jari atau Tangan
handwriting changes,Perubahan Tulisan Tangan
headache,Sakit Kepala
headache frontal,Sakit Kepala Depan
hearing problems,Masalah Pendengaran
heart disease symptoms,Gejala Penyakit Jantung
heartburn,Sensasi Terbakar di Dada
heat exhaustion,Kelelahan Panas
heavy menstrual flow,Perdarahan Menstruasi Berat
hemoptysis,Batuk Berdarah
hesitancy,Keraguan Buang Air Kecil
high blood pressure symptoms,Gejala Tekanan Darah Tinggi
hip cramps or spasms,Kram atau Spasme Pinggul
hip lump or mass,Benjol atau Massa Pinggul
hip pain,Nyeri Pinggul
hip stiffness or tightness,Kekakuan atau Ketegangan Pinggul
hip swelling,Pembengkakan Pinggul
hip weakness,Kelemahan Pinggul
hoarse voice,Suara Serak
hostile behavior,Perilaku Permusuhan
hot flashes,Sensasi Panas
hurts to breath,Nyeri saat Bernapas
hysterical behavior,Perilaku Histeria

incontinence of stool,Inkontinensia Feses
incontinence of urine,Inkontinensia Urin
increased heart rate,Detak Jantung Meningkat
infant feeding problem,Masalah Pemberian Makan Bayi
infant spitting up,Bayi Menyemburkan Susu
infertility,Ketidaksuburan
inflammation of bladder,Peradangan Kandung Kemih
inflammatory bowel disease,Penyakit Radang Usus
infra orbital edema,Edema di Bawah Mata
insomnia,Insomnia
intermenstrual bleeding,Perdarahan Antara Menstruasi
involuntary urination,Kencing Tidak Sadar
irregular appearing nails,Kuku Terlihat Tidak Teratur
irregular appearing scalp,Kulit Kepala Terlihat Tidak Teratur
irregular belly button,Pusar Tidak Teratur
irregular heartbeat,Detak Jantung Tidak Teratur
irritable infant,Bayi Mudah Tersinggung
irritation of throat,Iritasi Tenggorokan
itching of anus,Gatal di Anus
itching of scrotum,Gatal di Skrotum
itching of skin,Gatal pada Kulit
itching of the eye,Gatal pada Mata
itchy ear,Telinga Gatal
itchy eyelid,Kelopak Mata Gatal
itchy scalp,Kulit Kepala Gatal

jaundice,Penyakit Kuning
jaw pain,Nyeri Rahang
jaw swelling,Pembengkakan Rahang
joint pain,Nyeri Sendi
joint stiffness or tightness,Kekakuan atau Ketegangan Sendi
joint swelling,Pembengkakan Sendi

kidney mass,Massa Ginjal
knee cramps or spasms,Kram atau Spasme Lutut
